Managing DP,DP Project No,Project Title
Netherlands (Netherlands),24633,Water Sanitation and Health  UNICEF
Netherlands (Netherlands),24634,Support to Food Safety  FAO
Netherlands (Netherlands),24789,Integrated Water Management  UNDP
Netherlands (Netherlands),24861,Adolescents and SRHR  UNFPA
Netherlands (Netherlands),25477,PROOFs (markets for the BP)
European Union/European Commission (EU/EC),DCI-FOOD/2013/329443,Ujjibito (RERMP 2) Start up Programme Estimate (Supplies)
European Union/European Commission (EU/EC),DCI-ASIE/2011/262951,SEALS Programme Estimate 1
European Union/European Commission (EU/EC),DCI-ASIE/2012/301931,TPSP Programme Estimate
European Union/European Commission (EU/EC),FOOD/2009/159321,Nutritional Surveillance Component - PTF - Food Security 2006
European Union/European Commission (EU/EC),ASIE/2011/252989,Action for participatory and comprehensive disaster risk reduction
United Nations Population Fund  (UNFPA),BGD8U502-FPA90,Protection and Enforcement of Women Rights through Ministry of Home Affairs
Danish International Development Agency (DANIDA),,Climate Change Adaptation Pilot Project
Danish International Development Agency (DANIDA),,Access to Justice for Realisation of Human Rights and Advocacy for Empowerment of the Poor
Danish International Development Agency (DANIDA),,Promotion and Strengthening of Access and Rights to Land and other Natural Resources for Poor and Marginalized Communities in Bangladesh
Netherlands (Netherlands),26547,HPNSDP health sector
Netherlands (Netherlands),27139,IED Promoting adolescents wellbeing
Netherlands (Netherlands),27085,IMAGE health for girls
Netherlands (Netherlands),26530,SRHR Inclusive business
Netherlands (Netherlands),26408,River management
Netherlands (Netherlands),26224,Enhancing resilience WFP
Netherlands (Netherlands),25828,Working conditions in RMG
Korea International Cooperation Agency (KOICA),KOICA 2014-03,KOICA-UNDP Accelrating Efforts to Prevent and Respond to Sexual and Gender Based Violence
Netherlands (Netherlands),25545,Formulation Bangladesh Delta Plan 2100
Netherlands (Netherlands),25709,Shokhi Women health; rights and choice
Netherlands (Netherlands),25695,Satelite for crops
Netherlands (Netherlands),25566,Gender and Water programme
Netherlands (Netherlands),25478,Rice fortification
European Union/European Commission (EU/EC),ASIE/2007/147015,Technical and Vocational Education and Training (TVET) Reform in Bangladesh
European Union/European Commission (EU/EC),FOOD/2008/145720,National Food Security Nutritional Surveillance Project
European Union/European Commission (EU/EC),FOOD/2008/159363,National Food Policy Capacity Strengthening Programme - Phase II
European Union/European Commission (EU/EC),FOOD/2010/257740,Quality control of fortified biscuits for school feeding project.
European Union/European Commission (EU/EC),DCI-ASIE/2011/269142,Technical Assistance to the Trade Policy Support Programme
European Union/European Commission (EU/EC),DCI-ASIE/2010/229763,Better Work and Standards Programme (BEST): Quality; Fishery and Textile
European Union/European Commission (EU/EC),DCI-ASIE/2012/291879,Promote Access to Land in Bangladesh - Operating Costs
European Union/European Commission (EU/EC),DCI-ASIE/2012/303358,SALE - Sustainable Access to Land Equality
European Union/European Commission (EU/EC),DCI-ASIE/2012/303944,Promote Access to Land in Bangladesh
European Union/European Commission (EU/EC),DCI-ASIE/2012/308974,Access to Land - Survey Equipment
European Union/European Commission (EU/EC),DCI-ASIE/2013/334599,Audit of Programme Estimate Land
European Union/European Commission (EU/EC),DCI-ASIE/2014/344417,Evaluation of the Access to Land Programme Bangladesh
European Union/European Commission (EU/EC),DCI-ASIE/2011/266624,Technical Assistance to the Sundarbans Environmental And Livelihoods Security (SEALS) Project
European Union/European Commission (EU/EC),DCI-ASIE/2011/269870,''Our Forest our Life'': A Community-based Action toward the sustainability of the Sundarbans Reserve Forest (CBAS-SRF)
European Union/European Commission (EU/EC),DCI-ASIE/2011/269979,Sundarbans Development & Alternative Resources Integration (SUNDARI)
European Union/European Commission (EU/EC),DCI-ASIE/2011/275051,Accounting Consultancy for the Sunderbans Environmental And Livelihoods Security (SEALS) project
European Union/European Commission (EU/EC),DCI-ASIE/2013/312953,Expenditure verification PE 3 SEALS
European Union/European Commission (EU/EC),DCI-ASIE/2013/322181,Mid-Term Review of SEALS Project
European Union/European Commission (EU/EC),DCI-ASIE/2011/271415,Technical Assistance to the Department of Women Affairs for the Food and Livelihood Security project
European Union/European Commission (EU/EC),DCI-ASIE/2012/283563,Food and Livelihood Security (FLS) Programme for the ultra-poor women and marginal farmer/share cropper of Naogaon.
European Union/European Commission (EU/EC),DCI-ASIE/2012/283804,Initiative for Leading Food and Livelihood Security (ILFLS)
European Union/European Commission (EU/EC),DCI-ASIE/2012/283806,Food and Livelihood Security (FLS) programme for the Ultra-poor women; Small and Marginal farmers
European Union/European Commission (EU/EC),DCI-ASIE/2012/288480,FLS Programme Estimates
European Union/European Commission (EU/EC),DCI-ASIE/2014/339007,Expenditure Verification of Food and Livelihood Security (FLS) project implementing partners (VERC; ASOD; ESDO & RIC)
European Union/European Commission (EU/EC),DCI-ASIE/2011/271838,Technical Assistance to support the Bangladeshi Bank Training Institutions
European Union/European Commission (EU/EC),DCI-ASIE/2011/277407,Technical Assistance for the Capacity Building of the National SME Support Infrastructure and the Preparation of the Bangladeshi National SME Development Strategy as well as the Management of the SME Comptetitiveness Grant Scheme
European Union/European Commission (EU/EC),DCI-ASIE/2013/332226,Supply; delivery and installation; commissioning and after-sales service of ICT Equipment including Computers; UPS; Network; Servers; Audio Visual Equipment including Cameras; Office Equipment; Furniture; Air-Conditioning System; and Power Generato
European Union/European Commission (EU/EC),DCI-ASIE/2013/332227,Supply; delivery and installation; commissioning and after-sales service of ICT Equipment including Computers; UPS; Network; Servers; Audio Visual Equipment including Cameras; Office Equipment; Furniture; Air-Conditioning System; and Power Generato
European Union/European Commission (EU/EC),DCI-ASIE/2013/332232,Supply; delivery and installation; commissioning and after-sales service of ICT Equipment
European Union/European Commission (EU/EC),DCI-ASIE/2013/333072,The road to sustainable agro SME development in target clusters of Bangladesh through enhancing “Entrepreneurial Ability and Technical Skills
European Union/European Commission (EU/EC),DCI-ASIE/2013/333073,Strengthening the capacity of Bangladesh Agro- Processors’ Association (BAPA)
European Union/European Commission (EU/EC),DCI-ASIE/2013/333074,Building Capacity of Bangladesh Furniture Industries Owners Association (BFIOA)
European Union/European Commission (EU/EC),DCI-ASIE/2013/333081,EU support for Establishing an Organic Agro Products Processing Plant
European Union/European Commission (EU/EC),DCI-ASIE/2013/333084,Strengthening Acess to Mango Marketing Roles Initiatives to Disavantaged Households Empowerment SAMMRIDHE) Programme
European Union/European Commission (EU/EC),DCI-ASIE/2013/333089,An initiative for sustainable processing and marketing of Pineapples and Jackfruits of Modhuper for improved Livelihood
European Union/European Commission (EU/EC),DCI-ASIE/2013/333091,Socio-economic empowerment of Women trough promotion of natural fibre-based products from agricultural wastage
European Union/European Commission (EU/EC),DCI-ASIE/2013/333092,EU Support for Stengthening SME competitiveness and co-operation in the fashion sector between Bangladesh and Europe (ACRONYM: EuroBang-FASHION)
European Union/European Commission (EU/EC),DCI-ASIE/2013/333093,Agro-based SME Cluster and Value Chain Development Project
European Union/European Commission (EU/EC),DCI-ASIE/2013/333096,Improved packaging of Fresh and Processed Fruits and Vegetables for Export Market Support for Value Chain Actors
European Union/European Commission (EU/EC),DCI-ASIE/2013/333099,Fostering the capacity of Bangladesh Specialised Textile Mills and Powerloom Industries association (BSTMPIA)
European Union/European Commission (EU/EC),DCI-ASIE/2013/333100,EU Support for Establishing a Training Centre to support Organic Based Producers
European Union/European Commission (EU/EC),DCI-ASIE/2013/333101,Support for the development of the value added leather products ( footwear and leather goods) clusters and value chain
European Union/European Commission (EU/EC),DCI-ASIE/2013/333102,Strengthening the Capacity of Leather Goods & Footwear Manufacturers and Exporters Association of Bangladesh
European Union/European Commission (EU/EC),DCI-ASIE/2011/262810,Support Urban Slum Children to Access Inclusive Non-Formal Education (SUSTAIN)
European Union/European Commission (EU/EC),DCI-ASIE/2011/279196,Knowledge Management Capacity Building and coordination of the SHARE Project
European Union/European Commission (EU/EC),DCI-ENV/2010/256825,Bangladesh Climate Change Resilience Fund (BCCRF)
European Union/European Commission (EU/EC),DCI-ASIE/2012/296095,Local Governance and Decentralization Programme for Union Parishads and Upazila Parishads
European Union/European Commission (EU/EC),DCI-ASIE/2012/295263,Capacity Building For Equitable Quality Basic Education: UNICEF Technical Support to PEDP 3
European Union/European Commission (EU/EC),DCI-ASIE/2012/286299,Bangladesh Climate Change Resilience Fund (BCCRF)
European Union/European Commission (EU/EC),DCI-FOOD/2014/343783,Expenditure verification of Programme estimate for period 1.10.2013 to 30.6.2015 of Ujjibito RERMP-2
European Union/European Commission (EU/EC),ASIE/2006/125220,Bangladesh Investment Climate Fund
European Union/European Commission (EU/EC),DCI-ASIE/2013/314090,Protection; essential services and durable solutions for refugees in Bangladesh; Phase III
European Union/European Commission (EU/EC),DCI-ASIE/2008/161050,Public Financial Management Improvement Programme (PFMIP)
European Union/European Commission (EU/EC),DCI-FOOD/2010/225285,Preventing and addressing undernutrition in young children and women and its underlying causes.
European Union/European Commission (EU/EC),DCI-ASIE/2009/202728,Jute: an eco-friendly alternative for a sustainable future
European Union/European Commission (EU/EC),DCI-ENV/2010/221012,Increasing Resilience and Reducing Risk of Coastal Communities to Climate Change and Natural Hazards in the Bay of Bengal
European Union/European Commission (EU/EC),DCI-ENV/2010/221426,Collective Action to reduce Climate Disaster Risks and enhancing Resilience of the Vulnerable Coastal Communities around the Sundarbans in Bangladesh and India
European Union/European Commission (EU/EC),EIDHR/2011/223092,Improving Child Protection and Rehabilitation of Children from Sexual Abuse and Exploitation in Bangladesh
European Union/European Commission (EU/EC),DCI-SANTE/2010/230203,TARSAN - CSO Towards sustainable quality healthcare delivery at grassroots level through active participation of civil society organisations
United Nations International Children's Emergency Fund (UNICEF),N/A,Communication; Advocacy and Partnership Section (CAP)
United Nations International Children's Emergency Fund (UNICEF),N/A,Water; Sanitation and Hygiene (WASH) Project (GoB-UNICEF) in Bangladesh
European Union/European Commission (EU/EC),DCI-EDUC/2010/231125,Technical and Vocational Education and Training for Young People in the Informal Economy in Bangladesh
European Union/European Commission (EU/EC),DCI-EDUC/2010/231223,Skills for Unemployed and Underemployed Labour (SkillFUL): Promoting sustainable training in the informal economy for poverty reduction.
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/246477,Promoting rights through community action: improved access to inclusive education for children with disabilities
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/246502,Ensuring Water & Sanitation Facilities towards Disaster Risk Reduction
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/246575,Upazila Model of School Improvement Programme
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/246579,SEEMA-Solidarity and Empowerment through Education; Motivation and Awareness
European Union/European Commission (EU/EC),EIDHR/2010/256168,Education on the Convention against Torture and OPCAT Awareness Programme in Bangladesh
European Union/European Commission (EU/EC),EIDHR/2011/260675,Promotion and Protection of the Human Rights of Dalits (PPHRD)
European Union/European Commission (EU/EC),DCI-HUM/2011/266430,Partnerships to combat child labour through corporate social responsibility CSR in Bangladesh
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/270442,Rural Urban Child Migration Project
United Nations International Children's Emergency Fund (UNICEF),N/A,GOB_UNICEF Health Program
European Union/European Commission (EU/EC),DCI-FOOD/2011/277888,Sustainable Technology Transfer to Enhance Productivity for Ultra Poor – STEP UP
European Union/European Commission (EU/EC),DCI-FOOD/2011/280170,Cross-border transfer of agricultural technologies; institutional and market development
European Union/European Commission (EU/EC),DCI-NSAPVD/2011/282507,Delivering Decentralisation - Slum dwellers'access to decision making for pro poor infrastructure services in Bangladesh; Nepal and Sri Lanka
European Union/European Commission (EU/EC),DCI-MIGR/2012/283280,Strengthening labour migration management capacities in Bangladesh; Indonesia; Nepal and the Philippines for replication in other Colombo Process Member States
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/283688,Improved access to and utilisation of affordable; quality sexual reproductive health (SRH) services and information among marginalised and low income women; men and young people in the underserved areas in Bangladesh
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/283659,Pioneering; Connecting & Empowering Voices for Change
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/283707,Strengthening Community Based Organisations for pro-poor democratic governance
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/283745,Effective Participation for Transparent and Accountable Local Governance
European Union/European Commission (EU/EC),EIDHR/2012/296838,Civil Society Joint Action Programme to Promote Dalit Human Rights in South Asia
European Union/European Commission (EU/EC),EIDHR/2013/297038,Promoting Rights and Accessibility to the Ultra Poor in Char lands areas through Democratic Local Governance (PRADG)
European Union/European Commission (EU/EC),EIDHR/2012/297046,Making it work: Access to justice for persons with disabilities in Bangladesh
European Union/European Commission (EU/EC),EIDHR/2013/297201,Mapping and capacity building of tea plantation workers and little known ethnic communities of Bangladesh
European Union/European Commission (EU/EC),EIDHR/2012/297591,Strengthening the voice of human rights defenders to protect right and entitlements of ethnic minorities
European Union/European Commission (EU/EC),EIDHR/2012/297592,Promoting Social and Political Rights of Persons with Disabilities through implementation of CRPD in Bangladesh
European Union/European Commission (EU/EC),DCI-GENRE/2012/300860,Economic Empowerment for Poor and Vulnerable Women in Bangladesh
European Union/European Commission (EU/EC),DCI-GENRE/2012/300879,Strengthening women’s collectives in Bangladesh; India and Nepal
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/306503,'Inclusive': Barrier Free Inclusive Society for Persons with Disabilities
European Union/European Commission (EU/EC),DCI-NSAPVD/2012/306698,Enhancing Governance and Capacity of Service Providers and Civil Society in Water Supply and Sanitation Sectors
European Union/European Commission (EU/EC),DCI-ASIE/2012/307508,Promoting Sustainable Consumption and Production of Jute Diversified Products
European Union/European Commission (EU/EC),DCI-ASIE/2013/311510,Implementation of environmental management systems and eco-labelling schemes in the SMEs of the leather sector in Bangladesh
European Union/European Commission (EU/EC),DCI-HUM/2013/311821,Promoting the rights of older people and influencing policy through cultural campaigning and media work
European Union/European Commission (EU/EC),DCI-HUM/2013/312685,Promotion of Local Culture in the Sundarban Impact Zone in Bangladesh through Cultural Ecotourism and Entrepreneurship
European Union/European Commission (EU/EC),EIDHR/2013/315585,People’s Action for Democratic Governance (PADG)
European Union/European Commission (EU/EC),IFS-RRM/2013/316443,Conflict Prevention through deradicalization of Youth
European Union/European Commission (EU/EC),DCI-ASIE/2013/318435,audit of the grant contract ASIE/2006/129-067 - Up-scaling Non-formal primary education through Institutionalizing Qualitative Endeavour (UNIQUE) - DHAKA AHSANIA MISSION
European Union/European Commission (EU/EC),DCI-NSAPVD/2013/320062,Strengthening Capacity and Networking of NSAs and LAs on Disability (SCANED)
European Union/European Commission (EU/EC),DCI-NSAPVD/2013/320074,ONGIKAR - Facilitating implementation of National Education Policy (NEP) and Skills Development Policy (SDP)
European Union/European Commission (EU/EC),EIDHR/2013/321941,Capacity Building of Indigenous Human Rights Defenders
European Union/European Commission (EU/EC),DCI-HUM/2013/323272,Inclusive Protection and Empowerment Project for Children with Disabilities (IPEP)
European Union/European Commission (EU/EC),DCI-HUM/2013/323276,Community actions for child protection from violence
European Union/European Commission (EU/EC),DCI-ASIE/2013/327334,Evaluation of 'Promotion of Development and Confidence Building in the Chittagong Hill Tracts Development Facility (CHTDF)
European Union/European Commission (EU/EC),DCI-ASIE/2013/328528,Financial audit on ''Strengthening Non-State Actors (NSA) and Local Bodies (LBs) to reduce children poverty and promote rights of vulnerable children (VC)''
European Union/European Commission (EU/EC),EIDHR/2013/328993,Evaluation of EIDHR CBSS BD
European Union/European Commission (EU/EC),DCI-ASIE/2014/336515,RE-TIE AUDIT
European Union/European Commission (EU/EC),DCI-ASIE/2014/343243,Audit of two grant contract under the SHARE programme
European Union/European Commission (EU/EC),DCI-ASIE/2014/344656,Financial and System Audit of Aloghar and UNIQUE 2 projects under SHARE programme
European Union/European Commission (EU/EC),DCI-ASIE/2014/345183,Financial and system Audit of the contract DCI-SANTE/2010/230203 TARSAN - CSO
European Union/European Commission (EU/EC),DCI-ASIE/2014/347055,Support to UDW/LGD in drafting DPP/TAPP of the ''EU Support to health and nutrition to the Poor in Urban Bangladesh'' Project
European Union/European Commission (EU/EC),DCI-ASIE/2014/347226,Support to BSCIC in drafting DPP/TAPP of the ''Poverty Reduction through Inclusive and Sustainable Market (PRISM)'' Project
European Union/European Commission (EU/EC),DCI-ASIE/2014/348014,Financial Audit of contract ASIE /2007/144-465; Building Partnership for better Health; Implemented by BRAC UNIVERSITY
European Union/European Commission (EU/EC),ASIE/2011/252991,Water; Sanitation and Hygiene for indigent and needy groups
European Union/European Commission (EU/EC),ASIE/2011/252992,Enhanced coping capacity of the disadvantaged community
European Union/European Commission (EU/EC),ASIE/2013/308940,Sanitation and Safe Water and Hygiene practice in schools and community level towards acess programme
European Union/European Commission (EU/EC),ASIE/2013/309125,Enhance Access to Legal Services (EALS)
European Union/European Commission (EU/EC),ASIE/2013/309131,Making accessibility of the indigent to local public health services (MAILPHS)
European Union/European Commission (EU/EC),ASIE/2014/348457,CAPACITY BUILDING SERVICES FOR DOMESTIC CIVIL SOCIETY ORGANISATIONS - EC PROJECT CYCLE MANAGEMENT AND PROPOSAL WRITING
European Union/European Commission (EU/EC),FOOD/2014/339004,Expenditure verification of the School Feeding Component Jul 2011 to Jun 2013
European Union/European Commission (EU/EC),FOOD/2014/340592,End line survey/evaluation of the Soil Fertility Component Project
United Nations Development Programme (UNDP),86798,Support to Administration of the 10th Parliamentary Elections.
Korea International Cooperation Agency (KOICA),KOICA 2015-01,Capaciity Development Program of the TTC; Rajshahi
Korea International Cooperation Agency (KOICA),KOICA 2015-02,Conservation with Advanced Technique for Cultural Heritage (CATCH)
United Nations Development Programme (UNDP),90906,Institutional Strengthening for the Phase-out of ODS(Phase-VII)
Department for International Development (DFID),GB-1-203390,Urban Health: Strengthening Care for Poor Mothers and New-borns in Bangladesh
Department for International Development (DFID),GB-1-202180,Business Finance for the Poor in Bangladesh
Department for International Development (DFID),GB-1-203227,Access to Justice through Para legal and Restorative Justice Services in Bangladesh
Department for International Development (DFID),GB-1-201851,Skills and Employment Programme in Bangladesh
Department for International Development (DFID),GB-1-203488,Transparency and Right to Information
Department for International Development (DFID),GB-1-203229,Agri-business for Trade Competitiveness
Department for International Development (DFID),GB-1-204287,Supporting the National Action Plan for Ready-made Garment Sector in Bangladesh
United Nations International Children's Emergency Fund (UNICEF),N/A,Maternal and Child Nutrition Program
United Nations International Children's Emergency Fund (UNICEF),N/A,HIV Programme
United Nations Industrial Development Organization (UNIDO),,Strengthening Bangladesh Accreditation Board (BAB): Institutional Cooperation between Norwegian Accreditation (NA) and BAB
United Nations International Children's Emergency Fund (UNICEF),N/A,Basic Education for Hard to Reach Urban Working Children Project (2nd Phase)
United Nations Industrial Development Organization (UNIDO),,Solar micro-utility enterprises for promoting rural energy and productive uses in Bangladesh
United Nations Industrial Development Organization (UNIDO),,Environmentally sound management and disposal of PCBs and medical wastes- Preparatory assistance (Project preparation grant; PPG phase)
United Nations Office on Drugs and Crime (UNODC),BGDX79,Technical Assistance to the Government of Bangladesh in Strengthening the responses to Human Trafficking.
World Bank (WB),P149605,NUTON JIBON LIVELIHOOD IMPROVEMENT PROJECT
World Bank (WB),P146520,INCOME SUPPORT PROGRAM FOR THE POOREST
World Bank (WB),P146464,MULTIPURPOSE DISASTER SHELTER PROJECT
United Nations Educational; Scientific and Cultural Organization (UNESCO),,Capacity Development for Education for All (CapEFA)- Literacy and Non Formal Education Programme
Swiss Development Corporation (SDC),7F-00521.04.01,Agri-business for Trade Competitiveness Project (ATC-P)
Swiss Development Corporation (SDC),7F-01013.03.01,Community Based Sustainable Management of Tanguar Hoar (Phase III)
Global Fund to Fight AIDS; Tuberculosis and Malaria (GFATM),,Expanding HIV/AIDS Prevention in Bangladesh
Expanding Coverage of Malaria Prevention and Control in Bangladesh,,
Round 10 Tuberculosis proposal consolidated with Round 8,,
OPEC Fund for International Development (OFID),,Contruction of Flyover Bridges in Dhaka [Moghbazar-Mouchak Combined Flyover)
OPEC Fund for International Development (OFID),,Construction of Sikalbaha 225 MW Dual Fuel Combined Cycle Power Plant Project
OPEC Fund for International Development (OFID),,SASEC Road Connectivity Project
OPEC Fund for International Development (OFID),,Third Urban Governance and Infrastructure Improvement Project (UGIIP 3)
OPEC Fund for International Development (OFID),,Teesta River Bridge and Access Roads Project at Gaibandha
Economic Development Cooperation Fund Korea (EDCF Korea),,Development of National ICT Infra-Network for Bangladesh Government
Economic Development Cooperation Fund Korea (EDCF Korea),,Establishment of Upazila ICT Training and Resource Centers for Education(UITRCE)
Economic Development Cooperation Fund Korea (EDCF Korea),,Development of Bibiyana~Kaliakoir Transmission Line Project
Economic Development Cooperation Fund Korea (EDCF Korea),,Well Field Construction Project at Tetulzhora-Bhakurta Area of Savar Upazilla(Part-1)
Economic Development Cooperation Fund Korea (EDCF Korea),,Replacement and Modernization of the Existing Railway Signaling System at 11 Stations of Bangladesh Railway in East Zone
Economic Development Cooperation Fund Korea (EDCF Korea),,Establishment of GMDSS(Global Maritime Distress System and Safety System and IMNS(Integrated Maritime Navigational System)
Economic Development Cooperation Fund Korea (EDCF Korea),,Installation of Wireless Broadband Network for Digital Bangladesh
Economic Development Cooperation Fund Korea (EDCF Korea),,BhandarJuri Water Supply Project
Economic Development Cooperation Fund Korea (EDCF Korea),,Greater Khulna Power Distribution Project Phase II
Economic Development Cooperation Fund Korea (EDCF Korea),,Procurement of Locomotives
Economic Development Cooperation Fund Korea (EDCF Korea),,The Intensification and Expansion of Distribution System 2nd Phase/Part-A project
Economic Development Cooperation Fund Korea (EDCF Korea),,Digital Exchange Installation Project at Khulna; Chittagong; Sylhet
Economic Development Cooperation Fund Korea (EDCF Korea),,Locomotive Purchase Project: Phase2
Economic Development Cooperation Fund Korea (EDCF Korea),,Internet Information Network Expansion Project
Economic Development Cooperation Fund Korea (EDCF Korea),,Salvage Vessel Procurement
Economic Development Cooperation Fund Korea (EDCF Korea),,Procurement of Locomotives; Phase III
Economic Development Cooperation Fund Korea (EDCF Korea),,Procurement of Single Decker CNG buses Project
Economic Development Cooperation Fund Korea (EDCF Korea),,Salvage Vessel Procurement Project(Supplementary Loan)
World Bank (WB),P149493,BANGLADESH URBAN RESILIENCE PROJECT
International Labour Organization  (ILO),BGD/13/09/MUL,Improving Working Conditions in the Ready-Made Garments Sector in Bangladesh
World Bank (WB),P120125,STRENGTHENING AUDITOR GENERAL'S OFFICE
United Nations Population Fund  (UNFPA),BGD8U201-FPA90,SRH Services through DGFP
Swiss Development Corporation (SDC),7F-08438.01.01,Good Governance in Urban Areas
Swiss Development Corporation (SDC),7F-08688.01.02,Integrated Water Resources Management in the Barind Areas (IWRM)
United Nations Capital Development Fund (UNCDF),,Upazila Governance Project (UZGP)
Swiss Development Corporation (SDC),7F-07952.01.02,Making Markets Work for the Chars (M4C)
Swiss Development Corporation (SDC),7F-08688.01.01,Technical Assistance for Institutionalization of the Integrated Water Resources Management in the Barind Areas (IWRM)
United Nations Capital Development Fund (UNCDF),,Union Parishad Governance Project (UPGP)
Swiss Development Corporation (SDC),7F-07734.01.04,APARAJITA-Political Empowerment of Women
United Nations Capital Development Fund (UNCDF),,Local Climate Adaptative Living (LOCAL)
Swiss Development Corporation (SDC),7F-07734.01.02,APARAJITA-Political Empowerment of Women
United Nations Population Fund  (UNFPA),BGD8U201-FPA90,SRH/FP Information and Services through City Corporation
United Nations Population Fund  (UNFPA),BGD8U202-FPA90,Improved Knowledge on SRH; HIV thru DGFP
United Nations Population Fund  (UNFPA),BGD8U202-FPA90,Improved Knowledge on SRH; HIV thru CityCorpn
World Food Programme  (WFP),,Country Programme 200243 (2012-2016)
United Nations Population Fund  (UNFPA),BGD8U701-FPA90,Bangladesh Bureau of Statistics - Population and Development Data Collection Using GIS
United Nations Population Fund  (UNFPA),BGD8U602-FPA90,Adolescent and Youth Programme
United Nations Population Fund  (UNFPA),BGD8U501-FPA90,Advance and empowerment of woment through BWCCI
United Nations Population Fund  (UNFPA),BGD8U201-FPA90,SRH; FP Info and Services thru CARE
United Nations Population Fund  (UNFPA),BGD8U501-FPA90,Promotion of Gender Equality through BGMEA
United Nations Population Fund  (UNFPA),RAS6U410,Enhance national capacity on HIV/AIDS prevention through DGHS
United Nations Population Fund  (UNFPA),BGD8U201,SRH;FP Info and Services through DGHS - Multibi
Swiss Development Corporation (SDC),7F-07734.01.05,APARAJITA-Political Empowerment of Women
United Nations Population Fund  (UNFPA),BGD8U201,SRH;FP Info and Services through DGFP
Swiss Development Corporation (SDC),7F-08444.01.01,Empowering and Decentralizing Local Government Institutions
Swiss Development Corporation (SDC),7F-03287.05.01,Sustainable Solutions for the delivery of Safe Drinking Water
Swiss Development Corporation (SDC),7F-07734.01.03,APARAJITA-Political Empowerment of Women
Swiss Development Corporation (SDC),7F-08103.01.01,Promotion of Water supply; Sanitation and Hygiene in hard-to-reach areas of Rural Bangladesh
Swiss Development Corporation (SDC),7F-08103.01.02,Promotion of Water Supply; Sanitation and Hygiene in Hard-to-Reach Areas of Rural Bangladesh
United Nations Population Fund  (UNFPA),BGD8U202-FPA90,Improved Knowledge on SRH; HIV thru RTMI
Swiss Development Corporation (SDC),7F-01247.04/05,Grassroots Women's Leadership
World Food Programme  (WFP),,Assistance to Refugees from Myanmar 200673
United Nations Population Fund  (UNFPA),BGD8U201-FPA90,SRH; FP Info and Services thru RTMI
Swiss Development Corporation (SDC),7F-03978.03.01,Local Governance Programme Sharique Phase III
United Nations Population Fund  (UNFPA),BGD8U201,SRH; FP Info and Services through Rangamati Hill District Council
United Nations Population Fund  (UNFPA),BGD8U501,Generation Break-through Project with DWA
United Nations Population Fund  (UNFPA),BGD8U502,Generation Break-through Project through DSHE
United Nations Population Fund  (UNFPA),BGD8U602,Generation Break-Through Programme through Plan Bangladesh
United Nations Population Fund  (UNFPA),BGD8U702,Institutionalising Population Education through Dept of Population Science; Dhaka University
United Nations Population Fund  (UNFPA),BGD8U502-FPA90,through DWA
Swiss Development Corporation (SDC),7F-03333.05.01,Basic School System and Adolescent Girl's Program: Modular second chance education with livelihood skills and gender empowerment
Swiss Development Corporation (SDC),7F-07350.01.02,Promoting Decent Work through Improved Migration Policy and its Application in Bangladesh
Swiss Development Corporation (SDC),7F-07982.01.01,Horizontal Learning for Local Water and Sanitation Governance
Swiss Development Corporation (SDC),7F-06729.02.01,BIBEC-Building Integrity Blocks for Effective Change
Swiss Development Corporation (SDC),7F-07627.02.02,Improved Access to Human Rights for people
Swiss Development Corporation (SDC),7F-08970.01.02,Support to the Parliamentary and Upazila Elections in Bangladesh
Swiss Development Corporation (SDC),7F-09219.01.01,Building Skills for Unemployed and Underemployed Labour (B-SkillFUL)
Swiss Development Corporation (SDC),7F-08654.01.01,Ashshash: For Men and Women Who Have Escaped Trafficking
United Nations Population Fund  (UNFPA),BDG7R201-MNHI,Reproductive Health Interventions through DGHS
United Nations Population Fund  (UNFPA),BGD7R201-MNHI,Reproductive Health Interventions through DGFP
United Nations Population Fund  (UNFPA),BGD7R201-MNHI,Reproductive Health Interventions through ICDDR'B
United Nations Population Fund  (UNFPA),BGD7G101,Promotion of Gender Equality through DWA
United Nations Population Fund  (UNFPA),BGD7G101,Promotion of Gender Equality through Dept of Social Welfare
United Nations Population Fund  (UNFPA),BGD7G102,Promotion of Gender Equality through Minis;ry of Religious Affairs
United Nations Population Fund  (UNFPA),BGD7G102,Promotion of Gender Equality through Dept of Mass Communication
United Nations Population Fund  (UNFPA),BGD7G102,Promotion of Gender Equality through DYD
United Nations Population Fund  (UNFPA),BGD8U201,SRH; FP Informaion and Services through ICDDR'B
United Nations Population Fund  (UNFPA),BGD8U201,SRH; FP Informaion and Services through RTMI
Swiss Development Corporation (SDC),7F-09082.01.01,Sanitation Markets Systems (SanMarkS)
OPEC Fund for International Development (OFID),,Secondary Towns Water Supply and Sanitation Sector Project
United Nations Development Programme (UNDP),91143,Knowledge for Development Management (K4DM)
United Nations Development Programme (UNDP),93415,UN-REDD Bangladesh National Programme
